"","Age","nodeCount","edgeCount","edgeDensity","edgeTransitivity","avgDeg","avgRR","extraNum","intraNum","ITF","avgIntra","avgExtra","sdRR"
"1","Young Adult",46,62,0.0599033816425121,0.306451612903226,2.69565217391304,7.71784312706088,19,43,0.306451612903226,9.10697771192654,4.57401222447017,6.15676447517339
"2","Middle Adult",94,184,0.0420956302905514,0.275791624106231,3.91489361702128,5.47692374773686,79,105,0.429347826086957,6.31077449630666,4.3686411072327,4.27274139046107
"3","Mature Adult",129,347,0.0420300387596899,0.262931034482759,5.37984496124031,4.50630977706142,196,151,0.564841498559078,5.54988440268066,3.70233136650783,4.40744071849972
"4","Senior",144,587,0.057012432012432,0.244764753875442,8.15277777777778,3.4353309058117,422,165,0.718909710391823,4.32372161823843,3.08797434763536,2.74564507735344
