"","Age","ExponentialP","Explog_lik","ExpAIC","zetaP","zetalog_lik","zetaAIC","VStat","VStat.1","deltaAIC"
"1","Young Adult",0.463573469921688,-81.7741214147942,165.548242829588,1.82338297358738,-92.2730540232679,186.546108046536,3.35040153435105,0.000403472465120958,20.9978652169474
"2","Middle Adult",0.294955965365961,-209.107710563144,420.215421126288,1.64753686725869,-238.418277365473,478.836554730946,5.13555527120719,1.40656092884051e-07,58.6211336046578
"3","Mature Adult",0.205647880959167,-333.253202335473,668.506404670946,1.55443042810626,-378.013247676524,758.026495353048,6.154489114671,3.76599529339217e-10,89.5200906821013
"4","Senior",0.130860451680944,-436.947309683153,875.894619366307,1.46077837256332,-498.462964402463,998.925928804925,6.30895561720395,1.40462308451106e-10,123.031309438618
